dataset,project,package,complextype,method,smell,severity,multiclass,NOP_method,CC_method,ATFD_method,FDP_method,CM_method,MAXNESTING_method,LOC_method,CYCLO_method,NMCS_method,NOLV_method,MaMCL_method,NOAV_method,LAA_method,FANOUT_method,CFNAMM_method,ATLD_method,CLNAMM_method,CINT_method,MeMCL_method,CDISP_method,isStatic_method,AMWNAMM_type,AMW_type,ATFD_type,CBO_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_project,LOC_type,NIM_type,NMO_type,NOAM_type,NOA_type,NOCS_package,NOCS_project,NOCS_type,NOC_type,NOII_type,NOI_package,NOI_project,NOMNAMM_package,NOMNAMM_project,NOMNAMM_type,NOM_package,NOM_project,NOM_type,NOPA_type,NOPK_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,isStatic_type,modifier_type,num_final_attributes,num_final_not_static_attributes,num_final_static_attributes,num_not_final_not_static_attributes,num_static_attributes,num_static_not_final_attributes,number_abstract_methods,number_constructor_DefaultConstructor_methods,number_constructor_NotDefaultConstructor_methods,number_final_methods,number_final_not_static_methods,number_final_static_methods,number_not_abstract_not_final_methods,number_not_final_not_static_methods,number_not_final_static_methods,number_package_visibility_attributes,number_package_visibility_methods,number_private_visibility_attributes,number_private_visibility_methods,number_protected_visibility_attributes,number_protected_visibility_methods,number_public_visibility_methods,number_standard_design_methods,number_static_methods,visibility_type
long-method,jgraph-5.13.0.0,com.jgraph.layout.hierarchical,JGraphMedianHybridCrossingReduction,transpose(intJGraphHierarchyModel),1.0,2.0,5.0,2.0,0.0,1.0,1.0,0.0,7.0,138.0,25.0,0.0,27.0,0.0,30.0,0.0,1.0,3.0,0.0,0.0,4.0,0.0,0.25,0.0,10.142857142857100,9.0,5.0,5.0,8.0,1.0,4.0,0.9523809523809524,517.0,2496.0,53577.0,525.0,0.0,0.0,1.0,6.0,12.0,399.0,1.0,0.0,2.0,1.0,23.0,46.0,2349.0,7.0,76.0,2996.0,8.0,0.0,32.0,18.0,0.3333333333333333,71.0,72.0,0.5,0.0,other,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,5.0,6.0,1.0,3.0,7.0,0.0,public
data-class,jgraph-5.13.0.0,com.jgraph.layout.organic,JGraphOrganicLayout.CellWrapper,,1.0,3.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,0,0.947712418,43,2335,53577,179,0,0,17,9,4,399,0,0,0,0,23,39,2349,1,117,2996,18,0,32,18,0.058823529,1,18,0.055555556,0,other,0,0,0,9,0,0,0,0,1,0,0,0,18,18,0,0,0,0,0,9,0,18,0,0,public
god-class,jgraph-5.13.0.0,org.jgraph.graph,EdgeRenderer,,1.0,3.0,12.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.666666667,4.444444444,28,9,38,4,9,0.935064935,1033,16067,53577,1065,516,2,3,37,45,399,0,0,2,12,23,839,2349,42,1014,2996,45,4,32,94,0.252439024,196,200,0.806451613,0,other,0,0,0,34,3,3,0,0,1,0,0,0,45,45,0,0,1,0,3,33,14,27,41,0,public
god-class,jgraph-5.13.0.0,org.jgraph.graph,GraphLayoutCache,,1.0,3.0,12.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.316831683,3.489208633,9,17,70,1,17,0.975845411,2435,16067,53577,2907,0,0,38,28,45,399,2,2,2,12,23,839,2349,101,1014,2996,139,0,32,213,0.308466343,436,485,0.669565217,0,other,0,0,0,28,0,0,0,0,4,0,0,0,139,137,2,0,0,0,3,28,21,115,97,2,public
feature-envy,jgraphpad-5.10.0.2,org.jgraph.plugins.codecs,JGraphGEOCodec,decode(JGraphDefaultGraphCellDefaultGraphCellDefaultGraphCellInputStreamintint),0.0,0.0,0.0,7.0,1.0,0.0,0.0,1.0,7.0,125.0,39.0,0.0,43.0,0.0,44.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,20.5,20.5,0.0,1.0,1.0,1.0,1.0,0.0,150.0,3009.0,33431.0,150.0,0.0,0.0,0.0,0.0,22.0,426.0,0.0,0.0,0.0,0.0,16.0,94.0,1530.0,2.0,112.0,1879.0,2.0,0.0,22.0,3.0,0.0,41.0,41.0,1.0,0.0,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,public
data-class,jgraphpad-5.10.0.2,org.jgraph.plugins.codecs,JGraphJGX.DelayedAttributeID,,1.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,0,875,11,3009,33431,75,0,0,8,4,22,426,0,0,0,0,16,94,1530,1,112,1879,9,0,22,9,0.142857143,1,9,0.111111111,1,other,0,0,0,4,0,0,0,0,1,0,0,0,9,9,0,0,0,0,0,4,0,9,0,0,public
god-class,jgraphpad-5.10.0.2,org.jgraph.plugins.layouts,AnnealingLayoutAlgorithm,,1.0,3.0,12.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3125,4.8,32,3,3,2,3,0.961755233,2128,12877,33431,2214,13,3,7,46,50,426,1,0,1,1,16,400,1530,48,545,1879,55,15,22,72,0.326797386,255,264,0.392857143,0,other,17,0,17,29,17,0,0,0,2,0,0,0,55,55,0,0,0,23,35,8,7,13,46,0,public
long-method,jgraphpad-5.10.0.2,org.jgraph.plugins.layouts,AnnealingLayoutSettings,AnnealingLayoutSettings(AnnealingLayoutAlgorithmboolean),0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,124.0,1.0,0.0,11.0,0.0,46.0,1.0,0.0,0.0,35.0,2.0,0.0,0.0,0.0,0.0,1.6603773584905600,1.5280898876404400,3.0,1.0,4.0,5.0,5.0,0.9595829428303655,1633.0,12877.0,33431.0,2078.0,520.0,0.0,36.0,97.0,50.0,426.0,4.0,0.0,1.0,1.0,16.0,400.0,1530.0,53.0,545.0,1879.0,89.0,34.0,22.0,94.0,0.11512605042016806,88.0,136.0,0.29292929292929293,0.0,other,34.0,0.0,34.0,63.0,34.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,89.0,89.0,0.0,2.0,0.0,59.0,3.0,2.0,21.0,65.0,52.0,0.0,public
long-method,jgraphpad-5.10.0.2,org.jgraph.plugins.layouts,AnnealingLayoutSettings,initComponents(),0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,722.0,9.0,0.0,32.0,0.0,98.0,0.9848484848484849,3.0,3.0,65.0,8.0,3.0,0.0,1.0,0.0,1.6603773584905600,1.5280898876404400,3.0,1.0,4.0,5.0,5.0,0.9595829428303655,1633.0,12877.0,33431.0,2078.0,520.0,0.0,36.0,97.0,50.0,426.0,4.0,0.0,1.0,1.0,16.0,400.0,1530.0,53.0,545.0,1879.0,89.0,34.0,22.0,94.0,0.11512605042016806,88.0,136.0,0.29292929292929293,0.0,other,34.0,0.0,34.0,63.0,34.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,89.0,89.0,0.0,2.0,0.0,59.0,3.0,2.0,21.0,65.0,52.0,0.0,public
long-method,jgraphpad-5.10.0.2,org.jgraph.plugins.layouts,AnnealingLayoutSettings,revert(),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6603773584905600,1.5280898876404400,3.0,1.0,4.0,5.0,5.0,0.9595829428303655,1633.0,12877.0,33431.0,2078.0,520.0,0.0,36.0,97.0,50.0,426.0,4.0,0.0,1.0,1.0,16.0,400.0,1530.0,53.0,545.0,1879.0,89.0,34.0,22.0,94.0,0.11512605042016806,88.0,136.0,0.29292929292929293,0.0,other,34.0,0.0,34.0,63.0,34.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,89.0,89.0,0.0,2.0,0.0,59.0,3.0,2.0,21.0,65.0,52.0,0.0,public
data-class,jgraphpad-5.10.0.2,org.jgraph.plugins.layouts,AnnealingLayoutSettings,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.660377358,1.528089888,3,1,4,5,5,0.959582943,1633,12877,33431,2078,520,0,36,97,50,426,4,0,1,1,16,400,1530,53,545,1879,89,34,22,94,0.11512605,88,136,0.292929293,0,other,34,0,34,63,34,0,0,0,1,0,0,0,89,89,0,2,0,59,3,2,21,65,52,0,public
god-class,jgraphpad-5.10.0.2,org.jgraph.plugins.layouts,GEMLayoutAlgorithm,,1.0,3.0,12.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.595744681,4.38,44,4,8,2,3,0.963673469,2022,12877,33431,2044,13,3,3,50,50,426,0,0,1,1,16,400,1530,47,545,1879,50,12,22,73,0.35,216,219,0.318181818,0,other,14,0,14,36,14,0,0,0,1,0,0,0,50,50,0,0,0,25,33,13,7,10,46,0,public
feature-envy,jgraphpad-5.10.0.2,org.jgraph.plugins.layouts,GEMLayoutSettings,setOptimizationConfiguration(Properties),1.0,3.0,3.0,1.0,0.0,30.0,1.0,0.0,1.0,4.0,1.0,0.0,1.0,0.0,33.0,0.03225806451612903,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.507936507936500,1.290909090909090,33.0,3.0,11.0,5.0,12.0,0.9688629413400056,1312.0,12877.0,33431.0,1834.0,519.0,1.0,47.0,99.0,50.0,426.0,9.0,0.0,1.0,1.0,16.0,400.0,1530.0,63.0,545.0,1879.0,110.0,47.0,22.0,124.0,0.14231805929919136,95.0,142.0,0.3333333333333333,0.0,other,47.0,0.0,47.0,52.0,47.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,110.0,110.0,0.0,0.0,0.0,51.0,3.0,1.0,16.0,91.0,62.0,0.0,public
god-class,jgraphpad-5.10.0.2,org.jgraph.plugins.layouts,MoenLayoutAlgorithm,,1.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.782608696,2.76,0,2,3,2,3,0.970238095,576,12877,33431,596,13,3,2,7,50,426,3,0,0,1,16,400,1530,23,545,1879,25,4,22,43,0.18115942,64,69,0.454545455,0,other,4,0,4,3,4,0,0,0,1,0,0,0,25,25,0,1,0,0,0,2,18,7,22,0,public
god-class,jgraphpad-5.10.0.2,org.jgraph.plugins.layouts,SugiyamaLayoutAlgorithm,,1.0,3.0,12.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,5.75,0,2,4,2,2,0.901185771,1166,12877,33431,1231,13,3,5,11,50,426,1,0,0,1,16,400,1530,19,545,1879,24,3,22,48,0.300724638,133,138,0.384615385,0,other,3,0,3,8,3,0,0,1,0,2,2,0,23,23,0,4,0,0,0,4,14,11,19,0,public
data-class,jgraphpad-5.10.0.2,org.jgraph.plugins.layouts,SugiyamaLayoutAlgorithm.CellWrapper,,1.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.333333333,1.181818182,0,0,0,1,0,0.9,83,12877,33431,121,0,0,5,6,50,426,0,0,1,1,16,400,1530,6,545,1879,11,0,22,11,0.177777778,8,13,1,0,other,0,0,0,6,0,0,0,0,1,0,0,0,11,11,0,4,10,2,0,0,0,1,5,0,package
feature-envy,jgraphpad-5.10.0.2,org.microplatform.gui,org.microplatform.gui.MDIContainer$1,construct(),1.0,2.0,2.0,0.0,0.0,10.0,3.0,0.0,2.0,29.0,2.0,1.0,1.0,2.0,12.0,0.0,4.0,7.0,0.0,0.0,9.0,2.0,0.4444444444444444,0.0,2.0,2.0,10.0,5.0,7.0,2.0,4.0,0.0,31.0,713.0,33431.0,31.0,8.0,0.0,0.0,0.0,9.0,426.0,1.0,0.0,0.0,0.0,16.0,49.0,1530.0,1.0,67.0,1879.0,1.0,0.0,22.0,20.0,1.0,2.0,2.0,0.0,0.0,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,package
feature-envy,jgrapht-0.8.1,org.jgrapht.alg,KShortestPathsIterator,KShortestPathsIterator(GraphObjectObjectint),1.0,2.0,2.0,4.0,1.0,7.0,1.0,1.0,1.0,20.0,1.0,0.0,4.0,0.0,11.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,8.0,6.0,17.0,1.0,6.0,1.0,307.0,6812.0,28493.0,307.0,0.0,0.0,0.0,8.0,69.0,299.0,0.0,0.0,1.0,0.0,33.0,293.0,1431.0,13.0,299.0,1475.0,13.0,0.0,19.0,21.0,0.0,26.0,26.0,1.0,0.0,other,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0,1.0,8.0,8.0,0.0,0.0,4.0,12.0,0.0,package
long-method,jgrapht-0.8.1,org.jgrapht.experimental.permutation,CollectionPermutationIter,CollectionPermutationIter(List),0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,1.1428571428571400,1.3333333333333300,3.0,3.0,6.0,1.0,3.0,1.0,93.0,707.0,28493.0,131.0,0.0,1.0,2.0,3.0,5.0,299.0,0.0,0.0,0.0,1.0,33.0,34.0,1431.0,7.0,39.0,1475.0,9.0,0.0,19.0,12.0,0.0,8.0,12.0,0.75,0.0,other,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,8.0,4.0,0.0,public
long-method,jgrapht-0.8.1,org.jgrapht.experimental.permutation,CollectionPermutationIter,CollectionPermutationIter(ListArrayPermutationsIter),0.0,0.0,0.0,2.0,2.0,2.0,1.0,3.0,1.0,7.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1428571428571400,1.3333333333333300,3.0,3.0,6.0,1.0,3.0,1.0,93.0,707.0,28493.0,131.0,0.0,1.0,2.0,3.0,5.0,299.0,0.0,0.0,0.0,1.0,33.0,34.0,1431.0,7.0,39.0,1475.0,9.0,0.0,19.0,12.0,0.0,8.0,12.0,0.75,0.0,other,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,8.0,4.0,0.0,public
long-method,jgrapht-0.8.1,org.jgrapht.experimental.permutation,CollectionPermutationIter,CollectionPermutationIter(Set),0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,6.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,1.1428571428571400,1.3333333333333300,3.0,3.0,6.0,1.0,3.0,1.0,93.0,707.0,28493.0,131.0,0.0,1.0,2.0,3.0,5.0,299.0,0.0,0.0,0.0,1.0,33.0,34.0,1431.0,7.0,39.0,1475.0,9.0,0.0,19.0,12.0,0.0,8.0,12.0,0.75,0.0,other,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,8.0,4.0,0.0,public
long-method,jgrapht-0.8.1,org.jgrapht.experimental.permutation,CollectionPermutationIter,hasNext(),0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.1428571428571400,1.3333333333333300,3.0,3.0,6.0,1.0,3.0,1.0,93.0,707.0,28493.0,131.0,0.0,1.0,2.0,3.0,5.0,299.0,0.0,0.0,0.0,1.0,33.0,34.0,1431.0,7.0,39.0,1475.0,9.0,0.0,19.0,12.0,0.0,8.0,12.0,0.75,0.0,other,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,8.0,4.0,0.0,public
god-class_dataclass,jgrapht-0.8.1,org.jgrapht.experimental.permutation,CollectionPermutationIter,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.142857143,1.333333333,3,3,6,1,3,1,93,707,28493,131,0,1,2,3,5,299,0,0,0,1,33,34,1431,7,39,1475,9,0,19,12,0,8,12,0.75,0,other,0,0,0,3,0,0,0,0,3,0,0,0,9,9,0,0,0,3,1,0,0,8,4,0,public
god-class_dataclass,jgrapht-0.8.1,org.jgrapht.experimental.permutation,IntegerPermutationIter,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.142857143,2.142857143,0,0,0,1,0,0.846153846,255,707,28493,255,0,0,0,6,5,299,0,0,2,1,33,34,1431,14,39,1475,14,0,19,14,0.464285714,30,30,1,0,other,0,0,0,6,0,0,0,0,2,0,0,0,14,14,0,0,0,6,4,0,0,10,12,0,public
feature-envy,jgrapht-0.8.1,org.jgrapht.graph,AbstractBaseGraph,AbstractBaseGraph(EdgeFactorybooleanboolean),1.0,1.0,1.0,3.0,9.0,6.0,1.0,9.0,2.0,18.0,2.0,0.0,3.0,0.0,9.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,1.8620689655172400,1.8064516129032200,14.0,11.0,29.0,2.0,10.0,1.0,1127.0,6459.0,28493.0,1151.0,0.0,0.0,2.0,11.0,82.0,299.0,6.0,9.0,3.0,2.0,33.0,432.0,1431.0,29.0,443.0,1475.0,31.0,0.0,19.0,53.0,0.0,54.0,56.0,0.0,0.0,abstract,2.0,0.0,2.0,9.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,31.0,31.0,0.0,1.0,0.0,10.0,3.0,0.0,0.0,28.0,28.0,0.0,public
god-class,jgroups-2.10.0,org.jgroups.blocks,ConnectionTableNIO,,1.0,3.0,12.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.538461538,3.666666667,5,15,32,2,15,0.951417004,1413,19618,126255,1469,35,2,14,19,146,1093,12,0,1,29,80,1241,7670,13,1466,8798,27,0,21,103,0.223809524,85,99,0.391304348,0,other,4,3,1,15,1,0,0,0,6,1,1,0,26,26,0,0,1,19,0,0,3,23,7,0,public
long-method,jgroups-2.10.0,org.jgroups.demos.wb,MessageDialog,MessageDialog(FrameStringString),0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,27.0,1.0,0.0,5.0,0.0,7.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,40.0,822.0,126255.0,40.0,520.0,0.0,0.0,2.0,7.0,1093.0,0.0,0.0,1.0,0.0,80.0,66.0,7670.0,2.0,68.0,8798.0,2.0,0.0,21.0,2.0,1.0,2.0,2.0,1.0,0.0,other,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,public
long-method,jgroups-2.10.0,org.jgroups.demos.wb,Node,toString(),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,16.0,822.0,126255.0,16.0,0.0,1.0,0.0,7.0,7.0,1093.0,0.0,0.0,1.0,0.0,80.0,66.0,7670.0,1.0,68.0,8798.0,1.0,11.0,21.0,1.0,1.0,1.0,1.0,0.08333333333333333,0.0,other,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,public
data-class,jgroups-2.10.0,org.jgroups.demos.wb,Node,,1.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,0,1,0,0,16,822,126255,16,0,1,0,11,7,1093,0,0,1,0,80,66,7670,1,68,8798,1,11,21,1,1,1,1,0.083333333,0,other,0,0,0,11,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,2,1,0,public
data-class,jgroups-2.10.0,org.jgroups.protocols,S3_PING.ListBucketResponse,,1.0,3.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,0,2,12,2,3,0,232,24153,126255,232,0,0,0,9,202,1093,1,0,0,4,80,1342,7670,1,1681,8798,1,9,21,13,1,3,3,0.1,1,other,0,0,0,9,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,package
god-class,jgroups-2.10.0,org.jgroups.protocols,SFC,,1.0,2.0,11.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3.068965517,11,17,20,2,8,0.90922619,506,24153,126255,541,31,6,9,25,202,1093,1,0,0,4,80,1342,7670,20,1681,8798,29,0,21,93,0.261904762,80,89,0.571428571,0,other,9,8,1,16,1,0,0,0,0,0,0,0,29,29,0,10,0,15,8,0,0,21,20,0,public
god-class,jgroups-2.10.0,org.jgroups.stack,Configurator,,1.0,3.0,12.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.888888889,5.888888889,16,14,44,1,15,0.914285714,1485,6940,126255,1485,0,0,0,2,39,1093,3,0,1,8,80,399,7670,36,488,8798,36,0,21,90,0.113846154,212,212,1,0,other,2,1,1,0,1,0,0,0,2,0,0,0,36,4,32,0,6,1,8,1,0,22,34,32,public
long-method,jhotdraw-7.5.1,org.jhotdraw.draw,DefaultDrawingViewTransferHandler,importData(JComponentTransferableHashSetPoint),1.0,2.0,5.0,4.0,0.0,0.0,0.0,0.0,10.0,223.0,29.0,0.0,14.0,0.0,15.0,1.0,6.0,11.0,1.0,1.0,12.0,0.0,0.5,0.0,6.538461538461530,6.538461538461530,0.0,11.0,35.0,2.0,12.0,0.6666666666666666,681.0,13368.0,104357.0,681.0,17.0,0.0,0.0,2.0,69.0,968.0,7.0,0.0,0.0,10.0,54.0,972.0,6313.0,13.0,1173.0,7232.0,13.0,0.0,64.0,49.0,0.8181818181818182,85.0,85.0,1.0,0.0,other,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,2.0,1.0,0.0,5.0,7.0,12.0,0.0,public
long-method,jhotdraw-7.5.1,org.jhotdraw.draw.locator,AbstractLocator,AbstractLocator(),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,13.0,658.0,104357.0,13.0,0.0,0.0,0.0,0.0,6.0,968.0,0.0,2.0,3.0,1.0,54.0,59.0,6313.0,2.0,59.0,7232.0,2.0,0.0,64.0,3.0,1.0,2.0,2.0,0.0,0.0,abstract,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,public
long-method,jhotdraw-7.5.1,org.jhotdraw.draw.locator,AbstractLocator,locate(FigureFigure),0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,13.0,658.0,104357.0,13.0,0.0,0.0,0.0,0.0,6.0,968.0,0.0,2.0,3.0,1.0,54.0,59.0,6313.0,2.0,59.0,7232.0,2.0,0.0,64.0,3.0,1.0,2.0,2.0,0.0,0.0,abstract,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,public
long-method,jhotdraw-7.5.1,org.jhotdraw.draw.locator,BezierPointLocator,BezierPointLocator(int),0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,0.0,5.0,4.0,2.0,3.0,0.5,36.0,658.0,104357.0,36.0,1.0,0.0,0.0,2.0,6.0,968.0,0.0,0.0,0.0,1.0,54.0,59.0,6313.0,5.0,59.0,7232.0,5.0,0.0,64.0,11.0,1.0,6.0,6.0,1.0,0.0,other,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,3.0,0.0,public
long-method,jhotdraw-7.5.1,org.jhotdraw.draw.locator,BezierPointLocator,BezierPointLocator(intint),0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,0.0,5.0,4.0,2.0,3.0,0.5,36.0,658.0,104357.0,36.0,1.0,0.0,0.0,2.0,6.0,968.0,0.0,0.0,0.0,1.0,54.0,59.0,6313.0,5.0,59.0,7232.0,5.0,0.0,64.0,11.0,1.0,6.0,6.0,1.0,0.0,other,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,3.0,0.0,public
